pk_supply_record_id,fk_supply_product_id,fk_supply_variant_id,fk_supplier_id,supply_date,supply_quantity,total_price,pay_term
124,52,2,104,2023-03-23,50,209.65,"Net 30 days"
125,53,1,105,2023-03-24,120,167.44,"Net 45 days"
126,53,2,106,2023-03-25,100,174.3,"Net 45 days"
127,54,1,107,2023-03-26,140,195.72,"Net 60 days"
128,54,2,108,2023-03-27,120,192.78,"Net 60 days"
129,55,1,109,2023-03-28,160,206.22,"Net 30 days"
130,55,2,110,2023-03-29,200,138.6,"Net 30 days"
131,56,1,101,2023-03-30,130,188.37,"Net 45 days"
132,56,2,102,2023-03-31,70,229.95,"Net 45 days"
133,57,1,103,2023-04-01,110,209.3,"Net 60 days"
134,57,2,104,2023-04-02,50,244.65,"Net 60 days"
135,58,1,105,2023-04-03,180,187.02,"Net 30 days"
136,58,2,106,2023-04-04,60,104.65,"Net 30 days"
137,59,1,107,2023-04-05,120,139.86,"Net 45 days"
138,59,2,108,2023-04-06,80,174.3,"Net 45 days"
139,60,1,109,2023-04-07,130,188.37,"Net 60 days"
140,60,2,110,2023-04-08,90,209.3,"Net 60 days"
