pk_management_record_id,management_date,management_time,fk_responsible_employee_id,fk_product_id,fk_variant_id,warehouse_change_quantity,shelf_change_quantity
198,2023-03-02,08:00:00,30,55,2,5,-5
199,2023-03-02,09:00:00,21,56,1,-8,8
200,2023-03-02,10:00:00,22,56,2,12,-12
201,2023-03-02,11:00:00,23,57,1,-7,7
202,2023-03-02,12:00:00,24,57,2,9,-9
203,2023-03-02,13:00:00,25,58,1,-20,20
204,2023-03-02,14:00:00,26,58,2,15,-15
205,2023-03-02,15:00:00,27,59,1,-6,6
206,2023-03-02,16:00:00,28,59,2,4,-4
207,2023-03-03,08:00:00,29,60,1,-9,9
208,2023-03-03,09:00:00,30,60,2,11,-11
209,2023-03-03,10:00:00,21,51,1,-5,5
210,2023-03-03,11:00:00,22,51,2,3,-3
211,2023-03-03,12:00:00,23,52,1,-12,12
212,2023-03-03,13:00:00,24,52,2,18,-18
213,2023-03-03,14:00:00,25,53,1,-4,4
214,2023-03-03,15:00:00,26,53,2,6,-6
215,2023-03-03,16:00:00,27,54,1,-11,11
216,2023-03-04,08:00:00,28,54,2,7,-7
217,2023-03-04,09:00:00,29,55,1,-13,13
218,2023-03-04,10:00:00,30,55,2,14,-14
219,2023-03-04,11:00:00,21,56,1,-2,2
220,2023-03-04,12:00:00,22,56,2,8,-8
